gutenberg_id,text
126,THE POISON BELT
126,
126,
126,BY
126,
126,ARTHUR CONAN DOYLE
126,
126,
126,
126,
126,  Being an account of another adventure of
126,"  Prof. George E. Challenger, Lord John Roxton,"
126,"  Prof. Summerlee, and Mr. E. D. Malone,"
126,"  the discoverers of ""The Lost World"""
126,
126,
126,
126,TABLE OF CONTENTS
126,
126,Chapter
126,
126,   I  THE BLURRING OF LINES
126,  II  THE TIDE OF DEATH
126, III  SUBMERGED
126,  IV  A DIARY OF THE DYING
126,   V  THE DEAD WORLD
126,  VI  THE GREAT AWAKENING
126,
126,
126,
126,
126,Chapter I
126,
126,THE BLURRING OF LINES
126,
126,
126,"It is imperative that now at once, while these stupendous events are"
126,"still clear in my mind, I should set them down with that exactness of"
126,"detail which time may blur.  But even as I do so, I am overwhelmed by the"
126,"wonder of the fact that it should be our little group of the ""Lost"
126,"World""--Professor Challenger, Professor Summerlee, Lord John Roxton, and"
126,myself--who have passed through this amazing experience.
126,
126,"When, some years ago, I chronicled in the Daily Gazette our epoch-making"
126,"journey in South America, I little thought that it should ever fall to my"
126,"lot to tell an even stranger personal experience, one which is unique in"
126,all human annals and must stand out in the records of history as a great
126,peak among the humble foothills which surround it.  The event itself will
126,"always be marvellous, but the circumstances that we four were together at"
126,"the time of this extraordinary episode came about in a most natural and,"
126,"indeed, inevitable fashion.  I will explain the events which led up to it"
126,"as shortly and as clearly as I can, though I am well aware that the"
126,fuller the detail upon such a subject the more welcome it will be to the
126,"reader, for the public curiosity has been and still is insatiable."
126,
126,"It was upon Friday, the twenty-seventh of August--a date forever"
126,memorable in the history of the world--that I went down to the office of
126,"my paper and asked for three days' leave of absence from Mr. McArdle, who"
126,still presided over our news department.  The good old Scotchman shook
126,"his head, scratched his dwindling fringe of ruddy fluff, and finally put"
126,his reluctance into words.
126,
126,"""I was thinking, Mr. Malone, that we could employ you to advantage these"
126,days.  I was thinking there was a story that you are the only man that
126,"could handle as it should be handled."""
126,
126,"""I am sorry for that,"" said I, trying to hide my disappointment.  ""Of"
126,"course if I am needed, there is an end of the matter.  But the engagement"
126,"was important and intimate.  If I could be spared----"""
126,
126,"""Well, I don't see that you can."""
126,
126,"It was bitter, but I had to put the best face I could upon it.  After"
126,"all, it was my own fault, for I should have known by this time that a"
126,journalist has no right to make plans of his own.
126,
126,"""Then I'll think no more of it,"" said I with as much cheerfulness as I"
126,"could assume at so short a notice.  ""What was it that you wanted me to"
126,"do?"""
126,
126,"""Well, it was just to interview that deevil of a man down at Rotherfield."""
126,
126,"""You don't mean Professor Challenger?"" I cried."
126,
126,"""Aye, it's just him that I do mean.  He ran young Alec Simpson of the"
126,Courier a mile down the high road last week by the collar of his coat and
126,"the slack of his breeches.  You'll have read of it, likely, in the police"
126,report.  Our boys would as soon interview a loose alligator in the zoo.
126,"But you could do it, I'm thinking--an old friend like you."""
126,
126,"""Why,"" said I, greatly relieved, ""this makes it all easy.  It so happens"
126,that it was to visit Professor Challenger at Rotherfield that I was
126,"asking for leave of absence.  The fact is, that it is the anniversary of"
126,"our main adventure on the plateau three years ago, and he has asked our"
126,"whole party down to his house to see him and celebrate the occasion."""
126,
126,"""Capital!"" cried McArdle, rubbing his hands and beaming through his"
126,"glasses.  ""Then you will be able to get his opeenions out of him.  In any"
126,"other man I would say it was all moonshine, but the fellow has made good"
126,"once, and who knows but he may again!"""
126,
126,"""Get what out of him?"" I asked.  ""What has he been doing?"""
126,
126,"""Haven't you seen his letter on 'Scientific Possibeelities' in to-day's"
126,"Times?"""
126,
126,"""No."""
126,
126,McArdle dived down and picked a copy from the floor.
126,
126,"""Read it aloud,"" said he, indicating a column with his finger.  ""I'd be"
126,"glad to hear it again, for I am not sure now that I have the man's"
126,"meaning clear in my head."""
126,
126,This was the letter which I read to the news editor of the Gazette:--
126,
126,
126,"""SCIENTIFIC POSSIBILITIES"""
126,
126,"""Sir,--I have read with amusement, not wholly unmixed with some less"
126,"complimentary emotion, the complacent and wholly fatuous letter of James"
126,Wilson MacPhail which has lately appeared in your columns upon the
126,subject of the blurring of Fraunhofer's lines in the spectra both of the
126,planets and of the fixed stars.  He dismisses the matter as of no
126,significance.  To a wider intelligence it may well seem of very great
126,possible importance--so great as to involve the ultimate welfare of every
126,"man, woman, and child upon this planet.  I can hardly hope, by the use of"
126,"scientific language, to convey any sense of my meaning to those"
126,ineffectual people who gather their ideas from the columns of a daily
126,"newspaper.  I will endeavour, therefore, to condescend to their"
126,limitation and to indicate the situation by the use of a homely analogy
126,"which will be within the limits of the intelligence of your readers."""
126,
126,
126,"""Man, he's a wonder--a living wonder!"" said McArdle, shaking his head"
126,"reflectively.  ""He'd put up the feathers of a sucking-dove and set up a"
126,riot in a Quakers' meeting.  No wonder he has made London too hot for
126,"him.  It's a peety, Mr. Malone, for it's a grand brain!  We'll let's have"
126,"the analogy."""
126,
126,"""We will suppose,"" I read, ""that a small bundle of connected corks was"
126,launched in a sluggish current upon a voyage across the Atlantic.  The
126,corks drift slowly on from day to day with the same conditions all round
126,them.  If the corks were sentient we could imagine that they would
126,"consider these conditions to be permanent and assured.  But we, with our"
126,"superior knowledge, know that many things might happen to surprise the"
126,"corks.  They might possibly float up against a ship, or a sleeping whale,"
126,"or become entangled in seaweed.  In any case, their voyage would probably"
126,end by their being thrown up on the rocky coast of Labrador.  But what
126,could they know of all this while they drifted so gently day by day in
126,what they thought was a limitless and homogeneous ocean?
126,
126,"""Your readers will possibly comprehend that the Atlantic, in this"
126,"parable, stands for the mighty ocean of ether through which we drift and"
126,that the bunch of corks represents the little and obscure planetary
126,"system to which we belong.  A third-rate sun, with its rag tag and"
126,"bobtail of insignificant satellites, we float under the same daily"
126,"conditions towards some unknown end, some squalid catastrophe which will"
126,"overwhelm us at the ultimate confines of space, where we are swept over"
126,an etheric Niagara or dashed upon some unthinkable Labrador.  I see no
126,"room here for the shallow and ignorant optimism of your correspondent,"
126,"Mr. James Wilson MacPhail, but many reasons why we should watch with a"
126,very close and interested attention every indication of change in those
126,"cosmic surroundings upon which our own ultimate fate may depend."""
126,
126,"""Man, he'd have made a grand meenister,"" said McArdle.  ""It just booms"
126,"like an organ.  Let's get doun to what it is that's troubling him."""
126,
126,"""The general blurring and shifting of Fraunhofer's lines of the spectrum"
126,"point, in my opinion, to a widespread cosmic change of a subtle and"
126,singular character.  Light from a planet is the reflected light of the
126,sun.  Light from a star is a self-produced light.  But the spectra both
126,"from planets and stars have, in this instance, all undergone the same"
126,"change.  Is it, then, a change in those planets and stars?  To me such an"
126,idea is inconceivable.  What common change could simultaneously come upon
126,"them all?  Is it a change in our own atmosphere?  It is possible, but in"
126,"the highest degree improbable, since we see no signs of it around us, and"
126,"chemical analysis has failed to reveal it.  What, then, is the third"
126,"possibility?  That it may be a change in the conducting medium, in that"
126,infinitely fine ether which extends from star to star and pervades the
126,whole universe.  Deep in that ocean we are floating upon a slow current.
126,Might that current not drift us into belts of ether which are novel and
126,have properties of which we have never conceived?  There is a change
126,somewhere.  This cosmic disturbance of the spectrum proves it.  It may be
126,a good change.  It may be an evil one.  It may be a neutral one.  We do
126,not know.  Shallow observers may treat the matter as one which can be
126,"disregarded, but one who like myself is possessed of the deeper"
126,intelligence of the true philosopher will understand that the
126,possibilities of the universe are incalculable and that the wisest man is
126,he who holds himself ready for the unexpected.  To take an obvious
